epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.468,4.02042,17.1446,2.44763,0.08479,0.47337,0.10642,0.04882,1.80083,2.51292,1.0914,0.0059904,0.0019968,0.0059904,0.0019968,0.0059904,0.0019968,0.0059904,0.0019968
2,309.477,1.77372,2.74218,1.00764,0.30901,0.57721,0.37659,0.21753,1.39865,1.75646,0.94563,0.0119891,0.00399637,0.0119891,0.00399637,0.0119891,0.00399637,0.0119891,0.00399637
3,458.7,1.54843,2.0384,0.94399,0.53245,0.72316,0.61742,0.38498,1.24466,1.28665,0.90522,0.0179826,0.0059942,0.0179826,0.0059942,0.0179826,0.0059942,0.0179826,0.0059942
4,606.452,1.42635,1.59073,0.91794,0.67028,0.81324,0.76886,0.51681,1.11144,1.03082,0.87785,0.023967,0.00798899,0.023967,0.00798899,0.023967,0.00798899,0.023967,0.00798899
5,750.169,1.29507,1.19925,0.89063,0.87953,0.88162,0.94461,0.67764,0.973,0.71881,0.85522,0.0299383,0.00997945,0.0299383,0.00997945,0.0299383,0.00997945,0.0299383,0.00997945
6,892.907,1.14945,0.88759,0.86556,0.94723,0.92928,0.97973,0.74492,0.84356,0.55817,0.8347,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1035.26,0.99995,0.67938,0.84483,0.96621,0.95746,0.98878,0.78697,0.73635,0.47929,0.82335,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1177.59,0.90226,0.57847,0.8303,0.97203,0.9694,0.99084,0.8086,0.67948,0.42046,0.81321,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1320.34,0.8258,0.51193,0.82148,0.97943,0.97618,0.99261,0.8343,0.60249,0.37682,0.8063,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1462.9,0.77016,0.4683,0.81246,0.97693,0.98134,0.99319,0.84611,0.57058,0.35858,0.80237,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1605.62,0.71712,0.43285,0.8074,0.98304,0.98319,0.99351,0.86087,0.51903,0.3304,0.79798,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1748.53,0.68078,0.40755,0.80267,0.98555,0.98328,0.99376,0.86784,0.49859,0.31203,0.79333,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1891.58,0.64918,0.38341,0.79933,0.98625,0.98456,0.99397,0.87673,0.46989,0.29858,0.79254,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,2034.58,0.62362,0.36957,0.79596,0.98773,0.98552,0.99412,0.88658,0.44061,0.2837,0.7887,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,2177.63,0.59999,0.35459,0.79513,0.9876,0.9877,0.9941,0.88675,0.43942,0.27738,0.78865,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,2321.2,0.57599,0.34226,0.7929,0.98683,0.99046,0.99443,0.89232,0.42189,0.26392,0.78618,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,2465.85,0.56178,0.33135,0.79056,0.98706,0.99142,0.99427,0.89676,0.40538,0.25873,0.78356,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,2611.05,0.54718,0.32259,0.7878,0.98946,0.99036,0.99442,0.90284,0.38496,0.24902,0.78306,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,2757.54,0.53306,0.31403,0.78723,0.99202,0.99089,0.99457,0.90535,0.37851,0.24032,0.78271,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,2902.64,0.52154,0.30674,0.78581,0.99248,0.99063,0.99459,0.90691,0.36895,0.23571,0.78085,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,3048.1,0.51008,0.30032,0.78389,0.99136,0.99104,0.9946,0.90941,0.36466,0.23164,0.781,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,3193.41,0.49873,0.294,0.78529,0.98999,0.99295,0.9947,0.91504,0.3488,0.22401,0.77942,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,3338.39,0.48884,0.28859,0.78235,0.9925,0.99053,0.99463,0.91822,0.33846,0.21994,0.77821,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,3483.89,0.48056,0.28516,0.78286,0.99456,0.99125,0.99474,0.9198,0.33636,0.21423,0.77766,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,3629.79,0.47287,0.27936,0.78062,0.99329,0.99177,0.99474,0.92053,0.33048,0.20997,0.77717,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,3775.82,0.4624,0.27279,0.78006,0.99297,0.9937,0.99475,0.9236,0.32124,0.20583,0.77605,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,3920.54,0.45674,0.27096,0.77861,0.99387,0.99314,0.99483,0.92564,0.31426,0.20266,0.77535,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,4063.21,0.45191,0.26636,0.77868,0.99392,0.99352,0.99488,0.92709,0.31197,0.19918,0.77464,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,4205.54,0.44399,0.26137,0.77798,0.99273,0.99345,0.99481,0.92725,0.3065,0.19537,0.77447,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,4347.52,0.43775,0.26088,0.77874,0.9928,0.99372,0.99483,0.92561,0.30843,0.19508,0.77424,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4489.28,0.43485,0.25613,0.77706,0.99386,0.99322,0.99484,0.93044,0.299,0.19189,0.77389,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4632.44,0.42683,0.25238,0.7766,0.99292,0.99464,0.99482,0.93137,0.29779,0.18965,0.77308,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4775.55,0.42206,0.25004,0.77551,0.99371,0.99517,0.99483,0.93372,0.28991,0.1851,0.77241,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,4917.22,0.41457,0.24603,0.77554,0.99492,0.99425,0.9949,0.93551,0.28333,0.18208,0.77155,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,5058.46,0.41237,0.24457,0.7744,0.99517,0.99476,0.99491,0.93581,0.2855,0.18132,0.77189,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,5200.08,0.40432,0.24061,0.77532,0.99361,0.9956,0.99493,0.93671,0.2771,0.17903,0.77125,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,5342.01,0.40359,0.23867,0.77459,0.99533,0.99524,0.99494,0.93761,0.27517,0.17589,0.77064,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,5484.24,0.40037,0.2389,0.77341,0.99441,0.99582,0.9949,0.93951,0.27247,0.1738,0.7704,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,5626.52,0.39878,0.23704,0.77337,0.99591,0.99443,0.99489,0.93908,0.27087,0.17317,0.76992,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,5768.7,0.39148,0.23214,0.77297,0.99551,0.99487,0.9949,0.94089,0.26629,0.16965,0.7701,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,5910.62,0.38759,0.23101,0.77208,0.99442,0.99582,0.99489,0.94062,0.26341,0.16692,0.76965,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,6052.69,0.38458,0.22931,0.77244,0.99649,0.99423,0.99495,0.94217,0.26066,0.16629,0.76937,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,6194.83,0.38072,0.22684,0.77176,0.99689,0.99458,0.99495,0.94335,0.2564,0.16369,0.76856,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,6336.7,0.37612,0.22515,0.77064,0.99606,0.99521,0.99491,0.94252,0.2559,0.16258,0.7686,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,6478.59,0.37399,0.22413,0.77173,0.99645,0.99538,0.99495,0.94377,0.2552,0.16077,0.76824,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,6620.31,0.37155,0.22118,0.77077,0.99543,0.99599,0.99496,0.94477,0.25264,0.16155,0.76809,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,6762.24,0.3676,0.21842,0.77059,0.99591,0.99485,0.99493,0.94512,0.25152,0.16024,0.76782,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,6904.25,0.36479,0.21627,0.77034,0.9951,0.99633,0.99495,0.94713,0.24621,0.15661,0.76764,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,7046.17,0.36194,0.21608,0.77019,0.99646,0.99542,0.99496,0.94657,0.24672,0.1562,0.76743,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,7188.3,0.35899,0.21365,0.76983,0.99606,0.99577,0.99496,0.948,0.24227,0.15377,0.76692,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,7330.21,0.35394,0.21109,0.76999,0.99691,0.99469,0.99496,0.94811,0.24106,0.15211,0.76682,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7472.12,0.35246,0.2087,0.76894,0.9966,0.99545,0.99494,0.94812,0.24084,0.15115,0.76672,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,7614.01,0.35128,0.20884,0.76844,0.99674,0.99472,0.99494,0.94952,0.23811,0.15016,0.76649,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,7756.61,0.34627,0.20684,0.76916,0.99685,0.99569,0.99494,0.94905,0.23668,0.14931,0.76653,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,7898.57,0.34393,0.20515,0.76851,0.9967,0.99557,0.99494,0.94913,0.23617,0.14868,0.76642,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,8040.63,0.34178,0.20415,0.76781,0.99626,0.99646,0.99497,0.94978,0.23366,0.14694,0.76612,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,8182.69,0.34031,0.20182,0.76788,0.99698,0.99631,0.99497,0.95037,0.23187,0.14513,0.76588,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,8324.61,0.3353,0.20001,0.76774,0.99654,0.99627,0.99497,0.95071,0.23027,0.14493,0.76572,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,8466.51,0.33409,0.1995,0.768,0.99685,0.99583,0.99497,0.95157,0.22907,0.14383,0.76565,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,8608.29,0.33146,0.19721,0.76684,0.997,0.99568,0.99498,0.95207,0.22778,0.14312,0.76547,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,8750.02,0.3295,0.19599,0.76692,0.99736,0.99497,0.99498,0.95256,0.22738,0.14189,0.76537,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,8892.23,0.32854,0.19654,0.76718,0.99685,0.99566,0.99498,0.95262,0.22676,0.14161,0.76525,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,9034.44,0.32622,0.19402,0.76618,0.99681,0.99581,0.99498,0.95327,0.22522,0.14048,0.76503,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,9179.9,0.3251,0.19285,0.76632,0.9968,0.99594,0.99498,0.95419,0.22286,0.13955,0.7649,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,9325.14,0.32237,0.19197,0.76585,0.99655,0.99653,0.99499,0.9537,0.22232,0.13875,0.76473,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,9470.58,0.32046,0.19105,0.76579,0.99688,0.99671,0.99498,0.95419,0.22145,0.13817,0.76463,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,9616.09,0.31855,0.18986,0.76582,0.99695,0.99644,0.99498,0.95448,0.21977,0.13688,0.76442,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,9761.25,0.3154,0.18712,0.76577,0.99701,0.99645,0.99498,0.95468,0.2192,0.13664,0.76429,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,9903.31,0.31248,0.18574,0.76566,0.99667,0.99675,0.99498,0.95494,0.21892,0.13614,0.76426,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,10045.3,0.31367,0.18567,0.76523,0.99676,0.99663,0.99498,0.95544,0.21744,0.13499,0.76404,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,10187.4,0.30615,0.18165,0.76543,0.99682,0.99638,0.99498,0.95538,0.21642,0.13399,0.76388,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,10329.5,0.30683,0.18221,0.76508,0.99689,0.99619,0.99498,0.9557,0.21545,0.13352,0.76369,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,10471.2,0.30312,0.1797,0.76426,0.99718,0.99619,0.99498,0.95606,0.21459,0.1328,0.76365,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,10613.3,0.30216,0.17958,0.76486,0.99734,0.99616,0.99498,0.95558,0.21426,0.13247,0.76355,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,10755.4,0.29831,0.17698,0.76465,0.99709,0.99623,0.99498,0.95553,0.21323,0.1321,0.76346,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,10897.3,0.297,0.17619,0.76484,0.99731,0.9962,0.99498,0.95568,0.21232,0.13125,0.76337,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,11039.3,0.29452,0.17448,0.76441,0.99708,0.99622,0.99498,0.95608,0.21149,0.13062,0.76326,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,11181.6,0.29491,0.17449,0.76332,0.99743,0.99572,0.99498,0.95674,0.21087,0.13025,0.76317,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,11324,0.29184,0.17311,0.76412,0.99744,0.99573,0.99498,0.95702,0.21019,0.12978,0.76307,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,11466.6,0.29077,0.17098,0.76326,0.99763,0.99569,0.99498,0.95746,0.20988,0.12893,0.76298,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,11608.7,0.28866,0.17023,0.76341,0.99759,0.99564,0.99498,0.95734,0.20895,0.1288,0.76288,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,11750.7,0.28582,0.16845,0.7633,0.9976,0.99554,0.99498,0.95762,0.20858,0.12849,0.76281,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,11892.5,0.28386,0.16766,0.76301,0.9974,0.99572,0.99498,0.95739,0.20803,0.12807,0.76273,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,12034.4,0.28213,0.16629,0.76245,0.99772,0.99549,0.99498,0.95773,0.20759,0.12759,0.76265,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,12178.3,0.28195,0.16611,0.76256,0.99761,0.9955,0.99497,0.95793,0.20691,0.1277,0.7626,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,12322.2,0.27731,0.16392,0.76187,0.99733,0.99561,0.99497,0.95808,0.20638,0.1272,0.76252,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,12466.7,0.27766,0.16402,0.7623,0.99754,0.99554,0.99497,0.95831,0.20585,0.12657,0.76243,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,12613,0.27609,0.16282,0.76269,0.99757,0.99557,0.99497,0.95858,0.20532,0.1256,0.76235,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,12758.3,0.27587,0.16087,0.7623,0.99749,0.9957,0.99497,0.95872,0.20489,0.1255,0.7623,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,12903.2,0.27447,0.16165,0.76144,0.99752,0.99566,0.99498,0.95865,0.20439,0.12532,0.76227,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
